,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,City
0,64,CD,2019-01-11 20:25:27,100,-1.93,18.29,21.76,1.11,Inongo
1,92,GR,2019-01-11 20:25:27,100,40.1,23.98,6.81,8.31,Sarti
2,0,AR,2019-01-11 20:25:28,56,-38.31,-60.23,16.49,5.41,Barrow
3,12,TL,2019-01-11 20:25:28,66,-8.93,125.41,28.99,1.01,Airai
5,92,UY,2019-01-11 20:20:51,90,-33.69,-53.46,18.44,3.21,Chuy
6,75,CL,2019-01-11 20:00:00,100,-53.16,-70.91,7,12.3,Punta Arenas
7,24,RU,2019-01-11 20:25:29,46,68.75,161.3,-26.37,1.21,Cherskiy
8,90,US,2019-01-11 19:55:00,100,39.95,-94.76,0.5,2.6,Kodiak
9,0,PF,2019-01-11 20:23:32,100,-9.8,-139.03,27.49,7.26,Atuona
11,90,US,2019-01-11 20:15:00,77,27.1,-82.45,15.83,2.1,Venice
12,40,US,2019-01-11 19:56:00,64,22.08,-159.32,25.83,5.7,Kapaa
13,75,PT,2019-01-11 19:30:00,59,33.08,-16.33,17.59,7.2,Camacha
14,12,RU,2019-01-11 20:25:32,54,58.71,81.5,-28.07,2.21,Parabel
15,75,AR,2019-01-11 20:00:00,70,-54.81,-68.31,8,5.1,Ushuaia
17,75,CA,2019-01-11 19:00:00,93,47.58,-53.28,0,7.2,Bay Roberts
18,75,CA,2019-01-11 19:35:00,77,55.1,-105.3,-16,5.1,La Ronge
19,92,PF,2019-01-11 20:25:35,100,-16.48,-151.75,28.56,7.86,Faanui
20,0,RU,2019-01-11 20:25:36,65,54.72,135.31,-17.82,2.76,Chumikan
21,76,MG,2019-01-11 20:25:36,100,-14.27,50.17,26.49,1.31,Sambava
22,0,IN,2019-01-11 20:00:00,82,15.34,74.49,13,1.31,Vaini
23,75,PE,2019-01-11 20:00:00,88,-13.71,-76.2,22,7.2,Pisco
24,80,PF,2019-01-11 20:25:38,100,-23.12,-134.97,26.31,7.71,Rikitea
25,88,SB,2019-01-11 20:25:38,100,-10.46,161.92,27.69,4.31,Kirakira
26,0,CY,2019-01-11 20:00:00,76,34.92,32.53,9.56,3.6,Lasa
27,0,AU,2019-01-11 20:00:00,22,-42.78,147.06,24,8.7,New Norfolk
28,76,RU,2019-01-11 20:25:40,84,60.97,40.26,-7.94,7.91,Konosha
29,90,MK,2019-01-11 19:30:00,92,41.94,21.61,-4,1.51,Petrovec
30,90,CA,2019-01-11 20:00:00,75,69.44,-133.03,-26,5.1,Tuktoyaktuk
31,36,ZA,2019-01-11 20:20:47,100,-34.05,23.37,17.76,8.61,Plettenberg Bay
32,0,PT,2019-01-11 19:30:00,39,37.14,-8.45,8,3.6,Lagoa
33,0,AU,2019-01-11 20:00:00,22,-42.88,147.33,24,8.7,Hobart
34,0,AU,2019-01-11 20:25:42,81,-33.64,115.35,23.51,5.26,Busselton
35,8,NG,2019-01-11 20:25:43,91,5.43,7.07,23.11,3.31,Naze
36,12,ZA,2019-01-11 20:25:43,100,-34.42,19.24,9.16,1.41,Hermanus
37,1,US,2019-01-11 19:54:00,60,42.65,-73.75,-13.04,8.2,Albany
38,92,BR,2019-01-11 20:25:44,99,-30.17,-50.22,22.04,4.16,Cidreira
39,90,CA,2019-01-11 19:00:00,84,62.45,-114.38,-15,5.1,Yellowknife
40,0,YE,2019-01-11 20:25:45,68,14.3,44.38,-0.89,1.51,Yarim
41,0,RU,2019-01-11 20:25:46,100,61.92,159.24,-9.64,6.71,Evensk
42,75,RU,2019-01-11 20:00:00,66,60.73,77.6,-36,1,Strezhevoy
43,90,US,2019-01-11 19:53:00,68,19.71,-155.08,24.4,2.6,Hilo
44,75,CA,2019-01-11 19:00:00,70,55.74,-97.86,-20,1,Thompson
45,0,NZ,2019-01-11 20:25:47,53,-46.19,168.86,21.06,1.81,Mataura
46,48,GL,2019-01-11 20:25:47,89,60.14,-45.24,-0.52,19.61,Nanortalik
49,0,CN,2019-01-11 20:25:48,59,39.73,98.49,-17.92,1.36,Jiuquan
50,48,MZ,2019-01-11 20:25:49,99,-23.87,35.38,26.49,5.16,Inhambane
